absolute_magnitude,est_dia_in_km_max,epoch_date_close_approach,relative_velocity_km_per_hr,miss_dist_astronomical,orbit_uncertainity,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis,inclination,asc_node_longitude,perihelion_distance,mean_anomaly,hazardous
18.7,1.0815335068,805186800000,115853.0607057031,0.2381173175,0,0.22291,2458000.5,0.790756960368756,1.064507657848714,43.56115448362104,276.4541321668485,0.2227408180390012,18.81210234352095,False
18.7,1.0815335068,805186800000,115853.0611975708,0.2381172941,0,0.22291,2458000.5,0.7907569689137183,1.064507658028576,43.56115504220871,276.4541314999233,0.2227408089804583,18.8121029128578,False
20.1,0.5675968529,805791600000,66663.0917440337,0.32111022,0,0.14088,2457600.5,0.2476966426679784,1.376451096446346,37.22407108829239,106.1303161194635,1.035508781059929,324.3908879648891,False
20.1,0.5675968529,805791600000,112062.8027896715,0.4797684445,1,0.00799405,2458000.5,0.6073127022277187,1.73386919363144,0.9209450537747631,317.3928578023471,0.6808684083377344,265.8872187409405,True
20.2,0.5420507863,805791600000,66663.0700108924,0.3211118286,0,0.141147,2458000.5,0.2476471761427561,1.376501611527481,37.22279206579987,106.1248590326738,1.035614874476747,208.5269511313089,False
19.7,0.6824015094,805791600000,94852.3216501195,0.3719103572,1,0.200346,2458000.5,0.4364161676008859,1.895561584856526,40.75589995690742,296.3182956877208,1.06830786254198,158.0760770160067,False
16.7,2.7166893409,806396400000,73050.4772834677,0.4068983202,0,0.256265,2458000.5,0.707411422929393,2.016449150650885,15.95128044364067,168.5299865401225,0.5899899877241765,255.4052559846539,False
17.9,1.5632915441,806396400000,55231.9907943614,0.4432989827,0,0.0451383,2458000.5,0.2780787999190192,1.189569735081815,30.1225406141259,292.4757569846702,0.8587756107302781,308.879960955237,True
23.7,0.1081533507,806396400000,35390.6980282703,0.3266999354,6,0.0752783,2458000.5,0.222717159391895,0.9253650074475226,13.08284558438967,359.7151698871408,0.7192703415881505,325.6108650727421,False
20.3,0.5176544822,806396400000,55490.6599830742,0.4815542488,2,0.0449381,2458000.5,0.2710734108752346,0.7521531361361501,19.1976308267857,358.6587800949906,0.5482644200232192,296.4561445080394,True
20.7,0.4305662442,807865200000,52917.5089169024,0.29796017,0,0.143015,2458000.5,0.249441069304206,1.310034736062646,14.97551130247512,119.3113637536016,0.9832582706735261,217.173539820518,False
17.5,1.8794898244,807865200000,76521.0623977573,0.305244776,0,0.0197173,2458000.5,0.5749602982938385,2.237486605660774,16.14284854240449,116.8191316160531,0.9510206394415869,226.7028231177015,True
20.3,0.5176544822,807865200000,71455.084559890907,0.4835802625,0,0.122189,2458000.5,0.2568069943428223,1.367546504692949,37.36069360524818,118.9617953672091,1.016350997198721,221.1766293872037,False
24.1,0.0899580388,807865200000,34235.5669813472,0.0391035086,6,0.00335624,2458000.5,0.4073193079080165,0.8301293866516695,1.914256662040002,243.0519125356717,0.4920016594066053,312.2502959502082,False
22,0.2366137501,807865200000,57819.838606619,0.49007135,1,0.013789,2458000.5,0.5146651431643737,0.9061444567592145,8.805309986974386,211.1157354680615,0.4397834901936297,238.5895014705892,True
27.8,0.016369672,807865200000,73744.0353176641,0.4468810567,6,0.00229906,2458000.5,0.2969169445501015,1.288215731785637,3.648952368735195,177.7237952656623,0.9057226527824725,330.3027265993828,False
25.8,0.0411187571,807865200000,70325.7416701877,0.3657815359,6,0.0041285,2458000.5,0.3142290572731071,1.27714625028094,27.79521315206508,334.3526039521191,0.8758297880552768,128.0888492709682,False
20.5,0.4721064988,808470000000,47525.9773541872,0.4471106486,1,0.154706,2458000.5,0.5405178023526714,0.968377581781579,11.22419547692227,128.2836974696954,0.44495225942940553,266.010279771211,False
21,0.3750075218,808470000000,87723.1973247196,0.4305940289,2,0.164167,2458000.5,0.5920637249101245,1.02204832684398,22.48814425873502,64.94457277444644,0.416930587414573,75.87228480396955,False
20.5,0.4721064988,808470000000,51292.5954735017,0.2004270484,2,0.0640277,2458000.5,0.247892802415425,0.8692400532428961,14.07363263320681,303.619451429382,0.6537617004727814,179.9242659581224,False
26.5,0.0297879063,808470000000,55789.2136648847,0.2905427237,7,0.0200872,2458000.5,0.1944668036041747,0.9928418174587027,12.93289524955619,107.308006136735,0.7997670427329493,169.3102929035901,False
19.2,0.8590926012,808470000000,71586.5746661539,0.2243627035,2,0.180276,2458000.5,0.6364788257474345,1.847854685254643,12.09591999913569,242.8083220263312,0.6717343050318725,262.1602701720379,False
18.3,1.30028927,809074800000,13073.8727848083,0.2472571042,0,0.120423,2458000.5,0.275645195703379,1.461599740800429,7.559173999677165,122.4573310894536,1.058716794207486,137.6282212657402,False
18.8,1.0328564805,809074800000,38412.7441120026,0.4722746294,0,0.236062,2458000.5,0.1843426617058004,1.373675245828435,21.21089365186563,137.0475226872611,1.120448294693052,329.0904802207054,False
24.7,0.0682401509,809074800000,70733.781760617,0.471608977,3,0.0285671,2458000.5,0.2030510455908618,1.042607694139675,4.22223501558565,146.24487474079,0.8309051117035368,192.950326389245,False
24.4,0.0783501764,809074800000,56981.9492382622,0.334093393,6,0.00908397,2458000.5,0.3623412818111571,0.8045111682670718,14.95651571067213,206.1288496349375,0.5130035603257895,315.9645924472466,False
21.2,0.3420109247,810543600000,46247.8384959228,0.4207401538,1,0.138005,2458000.5,0.1727505558584062,1.220779402862681,25.78403060537174,157.224245276986,1.00988908243766,217.4920487687966,False
19.3,0.8204270649,810543600000,75552.9157793455,0.4807633153,1,0.0261387,2457600.5,0.2453492870265468,1.249949556315622,34.84177629327663,149.9465216640271,0.9432753238544359,275.7103214581483,True
18.2,1.3615700153999999,810543600000,49106.9377187212,0.1758123327,4,0.183099,2458000.5,0.5866239297757432,2.857746915166375,22.63213585239608,342.2124259372509,1.181324189486969,204.6427292680379,False
25,0.0594346868,810543600000,5199.8852281028,0.1119722051,4,0.0448509,2458000.5,0.1084151637830949,1.167829548918546,2.294234819308754,7.6341397453128,1.041219117101804,101.827874625062,False
19.3,0.8204270649,810543600000,75552.6527462239,0.4807602648,0,0.0287566,2458000.5,0.2453827326983622,1.249866955593947,34.8408230892633,149.9422270457515,0.943171186520922,197.8474532414083,True
23,0.1492931834,810543600000,43918.0000713562,0.3438678419,6,0.0896811,2458000.5,0.311335293033921,1.452642086480584,13.21059097460447,270.8048442942994,1.000383336812745,178.021335305533,False
19.9,0.6223575734,810543600000,78564.9448113509,0.4392163425,2,0.0703769,2458000.5,0.6904175453451732,1.810032265391183,4.629447663932813,153.6329593635456,0.5603542317242395,7.126982341285601,False
19.5,0.7482383761,811148400000,55870.8824768148,0.427378053,0,0.229332,2458000.5,0.5542303362728849,1.122247254074884,24.46689441089036,191.2527124013881,0.5002637810676391,256.2265857999162,False
24.8,0.0651688382,811148400000,20779.9089062441,0.4039159222,5,0.0378689,2458000.5,0.1889226522509931,1.292702072996871,0.9766283120282108,45.26691335656935,1.048481368795945,88.08560386672828,False
26.692,0.0272671645,811148400000,21548.4974929048,0.2007966444,3,0.00138825,2458000.5,0.2640538859757104,1.007138471483015,1.811674081309308,185.8691790850466,0.7411996443722877,87.30597168123131,False
21.2,0.3420109247,811753200000,118849.4444470831,0.4287923704,0,0.0443814,2458000.5,0.7429197714072429,2.535083408794546,8.9477678748622,344.1615922444419,0.651719822234608,149.7746537414765,True
20.8,0.411187571,811753200000,44038.9140002654,0.2524465764,5,0.214825,2458000.5,0.3980255376329458,1.777807587614624,22.95160410652685,344.0968673856423,1.070194766746383,69.46572316256477,False
25.187,0.0545305626,811753200000,72217.2695251892,0.3267124603,6,0.0240122,2458000.5,0.3260357937467516,0.8530614548537201,18.67301195226717,181.707208288901,0.5749328863057288,217.8217198282911,False
19.6,0.7145621017,813135600000,87971.1610448466,0.4367768964,0,0.22486,2458000.5,0.4224555943413243,0.8702809086347039,32.22691479429755,29.79498678119862,0.5026258701335222,87.25022796535129,False
25.4,0.0494356193,813135600000,29441.0179258586,0.1240226634,6,0.00361704,2458000.5,0.3968356454760085,0.952890381194718,1.504765649482926,9.7503830776467,0.5747495117054323,128.5098086481505,False
20.4,0.4943561926,813135600000,50396.7091564228,0.2735199581,1,0.0511177,2458000.5,0.5147876322815463,0.8938575799171852,21.09358036965412,12.96137180959469,0.4337107527547043,85.1151305460568,False
19.1,0.8995803882,813135600000,55719.4158773802,0.2088703977,1,0.00672532,2458000.5,0.7119507498168253,2.176240135386807,13.30368650062958,355.4787924280728,0.6268643392167003,280.3456586195321,True
22.8,0.1636967205,813135600000,37273.9723469384,0.1029365356,6,0.0224851,2458000.5,0.2706344259804053,1.185402267868303,6.072461617563961,10.38189097684688,0.8645916055478944,307.093083653724,False
24.5,0.0748238376,813135600000,25326.2853496968,0.1168503547,6,0.025176,2458000.5,0.2499222400619662,0.8855456744457496,10.80071330359576,4.523783599081487,0.6642281158110832,246.4093799891688,False
24.4,0.0783501764,813740400000,16354.9951017875,0.4222252793,8,0.0247658,2450164.5,0.398751214499961,1.455118168066537,2.698883026018024,12.47108401797542,0.8748880313090469,36.039263110496,False
26.6,0.0284472297,813740400000,85319.5369474375,0.466018362,7,0.0242782,2458000.5,0.3471995999621233,0.7598608696198276,24.780371082853492,22.38391211190036,0.4960374796609523,133.4904732191777,False
18.9,0.9863702813,813740400000,124987.452451079,0.3798567255,0,0.0797107,2458000.5,0.6872155315752198,1.814799732405519,27.92413357540924,30.87949107095691,0.5676411695978938,324.154910400744,False
22.3,0.2060819612,813740400000,46728.8157191285,0.1732524845,3,0.0259126,2458000.5,0.2597323195329087,1.16651991571092,5.035044225594919,28.8520216092119,0.8635369922219897,179.6031185576674,False
